,Player,Nation,Pos,Squad,Comp,Age,MP,G/90,G/Sh,PKGoals,PKAttempted,Goals,Pass,PassCompleted,PassComp%,Assist,Cross,CrossCompleted,CrossComp%,Tackle_Won,SucDribble,Dribble,DribbleComp%,YCards,RCards,Fls,Fld,OGoals,AerWon,AerLost,AerWon%
318,Yves Bissouma,MLI,MF,Brighton,Premier League,25.0,26,0.04,0.05,0,0,1,1180,1058,89.66,2,5,0,0.0,50,31,44,70.45,10,0,34,29,0,21,17,55.28
319,Nathan Bitu Mazala,FRA,DF,Paris S-G,Ligue 1,19.0,1,0.0,0.0,0,0,0,12,12,100.0,0,0,0,,0,1,1,100.0,0,0,0,0,0,0,0,
320,Marco Bizot,NED,GK,Brest,Ligue 1,31.0,38,0.0,0.0,0,0,0,1201,832,69.28,1,0,0,,0,0,0,,1,0,0,4,0,0,0,
321,Bjarki Bjarkason,ISL,FW,Venezia,Serie A,22.0,1,0.0,0.0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,
322,Blanco,ESP,MF,Real Madrid,La Liga,21.0,1,0.0,0.0,0,0,0,21,20,95.24,0,0,0,,0,2,2,100.0,0,0,2,0,0,0,0,
323,Ludovic Blas,FRA,MFFW,Nantes,Ligue 1,24.0,35,0.3,0.06,5,5,10,1053,836,79.39,5,25,7,28.0,25,61,138,44.2,10,0,45,60,0,22,43,33.84
324,Danny Blum,GER,FWMF,Bochum,Bundesliga,31.0,13,0.53,0.18,0,0,2,181,115,63.54,0,18,3,16.67,1,4,6,66.67,0,0,3,3,0,18,10,64.31
325,Myron Boadu,NED,FW,Monaco,Ligue 1,21.0,31,0.37,0.19,0,0,4,165,133,80.61,1,3,0,0.0,7,13,19,68.42,0,0,19,12,0,19,40,32.25
326,Jérôme Boateng,GER,DF,Lyon,Ligue 1,33.0,24,0.0,0.0,0,0,0,1112,980,88.13,1,3,1,33.33,15,1,3,33.33,6,0,17,2,0,18,11,62.11
327,Kevin-Prince Boateng,GHA,MFFW,Hertha BSC,Bundesliga,35.0,18,0.0,0.0,0,0,0,327,254,77.68,0,2,0,0.0,4,5,7,71.43,8,0,22,20,0,26,23,53.06
328,Antonin Bobichon,FRA,MFFW,Angers,Ligue 1,26.0,4,0.0,0.0,0,0,0,21,17,80.95,0,0,0,,0,0,1,0.0,0,0,0,0,0,1,3,25.0
329,Herbert Bockhorn,GER,DF,Bochum,Bundesliga,27.0,18,0.0,0.0,0,0,0,366,266,72.68,0,22,0,0.0,16,11,20,55.0,1,0,11,23,0,18,18,50.0
330,Jean-Paul Boëtius,NED,MF,Mainz 05,Bundesliga,28.0,33,0.1,0.08,0,0,2,938,698,74.41,2,20,4,20.0,32,20,34,58.82,3,0,23,44,0,10,29,25.64
331,Jeremie Boga,CIV,FWMF,Sassuolo,Serie A,25.0,12,0.0,0.0,0,0,0,272,223,81.99,2,14,1,7.14,3,24,47,51.06,0,0,1,12,0,1,5,17.07
332,Jeremie Boga,CIV,FWMF,Atalanta,Serie A,25.0,15,0.0,0.0,0,0,0,425,343,80.71,0,16,1,6.25,6,35,58,60.34,0,0,2,20,0,5,6,45.38
333,Luka Bogdan,CRO,DF,Salernitana,Serie A,26.0,6,0.0,0.0,0,0,0,124,89,71.77,0,2,0,0.0,4,1,1,100.0,0,0,3,1,0,8,7,53.37
334,Emil Bohinen,NOR,MF,Salernitana,Serie A,23.0,11,0.0,0.0,0,0,0,294,239,81.29,1,7,0,0.0,8,9,13,69.23,5,0,16,15,0,8,18,30.84
335,Quentin Boisgard,FRA,MFFW,Lorient,Ligue 1,25.0,25,0.09,0.06,0,0,1,398,286,71.86,1,15,3,20.0,14,16,33,48.48,3,0,14,11,0,8,19,29.53
336,Charles Boli,FRA,MF,Lens,Ligue 1,23.0,4,0.0,0.0,0,0,0,19,15,78.95,0,1,0,0.0,2,0,0,,0,0,0,2,0,0,1,0.0
337,Willy Boly,CIV,DF,Wolves,Premier League,31.0,10,0.0,0.0,0,0,0,541,450,83.18,0,0,0,,22,4,5,80.0,1,0,9,2,0,26,22,54.17
338,Giacomo Bonaventura,ITA,MF,Fiorentina,Serie A,32.0,31,0.16,0.09,0,0,4,1214,1010,83.2,4,18,0,0.0,19,28,46,60.87,8,1,34,60,0,15,22,40.82
339,Federico Bonazzoli,ITA,FWMF,Salernitana,Serie A,25.0,32,0.48,0.14,2,2,10,556,415,74.64,0,8,1,12.5,18,20,40,50.0,6,0,31,74,0,14,32,30.49
340,Tarsis Bonga,GER,FW,Bochum,Bundesliga,25.0,3,0.0,0.0,0,0,0,8,4,50.0,0,0,0,,0,2,2,100.0,0,0,0,0,0,2,1,66.67
