,Player,Nation,Pos,Squad,Comp,Age,MP,G/90,G/Sh,PKGoals,PKAttempted,Goals,Pass,PassCompleted,PassComp%,Assist,Cross,CrossCompleted,CrossComp%,Tackle_Won,SucDribble,Dribble,DribbleComp%,YCards,RCards,Fls,Fld,OGoals,AerWon,AerLost,AerWon%
524,Federico Chiesa,ITA,MFFW,Juventus,Serie A,24.0,14,0.21,0.07,0,0,2,284,219,77.11,2,23,6,26.09,17,21,33,63.64,0,0,12,20,0,3,12,19.87
525,Ben Chilwell,ENG,DF,Chelsea,Premier League,25.0,7,0.5,0.23,0,0,3,345,266,77.1,1,10,1,10.0,5,2,5,40.0,0,0,10,18,0,8,11,42.09
526,Chiquinho,POR,DFMF,Wolves,Premier League,22.0,8,0.0,0.0,0,0,0,109,72,66.06,3,21,4,19.05,6,8,12,66.67,0,0,11,8,0,5,5,50.0
527,Vlad Chiriche?,ROU,DF,Sassuolo,Serie A,32.0,29,0.0,0.0,0,0,0,1337,1224,91.55,0,0,0,,21,4,8,50.0,4,0,34,16,0,44,50,46.87
528,Pedro Chirivella,ESP,MF,Nantes,Ligue 1,25.0,31,0.1,0.14,0,0,3,1723,1462,84.85,1,7,3,42.86,27,8,14,57.14,6,0,26,29,0,13,13,50.0
529,Joris Chotard,FRA,MF,Montpellier,Ligue 1,20.0,36,0.03,0.05,0,0,1,1311,1112,84.82,1,15,4,26.67,33,12,22,54.55,5,0,38,11,0,25,29,46.39
530,Hamza Choudhury,ENG,DFMF,Leicester City,Premier League,24.0,6,0.0,0.0,0,0,0,156,128,82.05,0,0,0,,2,1,3,33.33,1,0,6,7,0,14,1,93.39
531,Andreas Christensen,DEN,DF,Chelsea,Premier League,26.0,19,0.0,0.0,0,0,0,1278,1167,91.31,0,2,1,50.0,12,6,6,100.0,2,0,13,7,0,60,37,61.82
532,Max Christiansen,GER,MF,Greuther Fürth,Bundesliga,25.0,27,0.0,0.0,0,0,0,920,753,81.85,0,0,0,,28,5,9,55.56,5,0,31,23,0,50,45,52.64
533,Carney Chukwuemeka,ENG,MFFW,Aston Villa,Premier League,18.0,12,0.0,0.0,0,0,0,122,99,81.15,1,0,0,,2,3,9,33.33,0,0,4,10,0,5,10,33.41
534,Samuel Chukwueze,NGA,MF,Villarreal,La Liga,23.0,27,0.2,0.09,0,0,3,474,344,72.57,3,34,3,8.82,7,58,109,53.21,4,0,13,20,0,10,23,30.49
535,Víctor Chust,ESP,DF,Cádiz,La Liga,22.0,25,0.0,0.0,0,0,0,807,699,86.62,0,2,0,0.0,14,6,7,85.71,2,0,16,11,0,33,52,38.9
536,Riccardo Ciervo,ITA,MFDF,Sampdoria,Serie A,20.0,10,0.0,0.0,0,0,0,74,52,70.27,1,9,1,11.11,5,2,3,66.67,0,0,3,1,0,0,3,0.0
537,Jasper Cillessen,NED,GK,Valencia,La Liga,33.0,17,0.0,0.0,0,0,0,445,291,65.39,1,0,0,,0,0,0,,1,0,0,1,0,0,0,
538,Pathé Ciss,SEN,MF,Rayo Vallecano,La Liga,28.0,31,0.16,0.1,0,0,2,535,446,83.36,1,0,0,,19,9,12,75.0,5,0,20,14,1,37,25,59.65
539,Moustapha Cissé,GUI,FW,Atalanta,Serie A,18.0,3,2.5,0.33,0,0,1,12,7,58.33,0,0,0,,1,1,1,100.0,0,0,2,1,0,6,2,75.0
540,Giorgio Cittadini,ITA,DF,Atalanta,Serie A,20.0,2,0.0,0.0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,
541,Ciaran Clark,IRL,DF,Newcastle Utd,Premier League,32.0,13,0.0,0.0,0,0,0,347,275,79.25,1,3,1,33.33,13,3,4,75.0,2,1,6,7,0,34,15,69.35
542,Alexis Claude-Maurice,FRA,MF,Nice,Ligue 1,23.0,10,0.0,0.0,0,0,0,101,89,88.12,2,3,1,33.33,3,3,9,33.33,1,0,5,5,0,0,3,0.0
543,Jonathan Clauss,FRA,DF,Lens,Ligue 1,29.0,37,0.15,0.12,0,0,5,1902,1283,67.46,11,144,21,14.58,35,31,63,49.21,3,0,47,17,0,22,14,61.32
544,Carlos Clerc,ESP,DF,Levante,La Liga,30.0,19,0.0,0.0,0,0,0,875,675,77.14,0,36,3,8.33,17,24,32,75.0,6,0,30,18,0,17,17,50.0
545,Tom Cleverley,ENG,MF,Watford,Premier League,32.0,28,0.0,0.0,0,0,0,625,460,73.6,2,19,4,21.05,27,4,8,50.0,2,0,37,21,0,18,37,32.68
546,Nathaniel Clyne,ENG,DF,Crystal Palace,Premier League,31.0,16,0.0,0.0,0,0,0,719,563,78.3,1,13,4,30.77,11,3,4,75.0,1,0,4,6,0,12,10,54.42
547,Conor Coady,ENG,DF,Wolves,Premier League,29.0,38,0.11,0.33,0,0,4,1636,1471,89.91,0,2,0,0.0,18,1,2,50.0,4,0,21,3,0,39,29,57.38
548,Marcus Coco,FRA,FWDF,Nantes,Ligue 1,25.0,24,0.1,0.09,0,0,1,332,232,69.88,1,20,5,25.0,20,11,25,44.0,3,1,21,30,0,32,33,49.29
549,Coke,ESP,DF,Levante,La Liga,35.0,6,0.77,1.0,0,0,1,68,57,83.82,0,0,0,,3,2,3,66.67,1,0,4,2,0,5,4,55.56
550,Séamus Coleman,IRL,DF,Everton,Premier League,33.0,30,0.03,0.13,0,0,1,1237,912,73.73,0,40,11,27.5,42,26,44,59.09,4,0,19,20,1,34,34,50.0
551,Álex Collado,ESP,MFFW,Granada,La Liga,23.0,17,0.18,0.12,0,0,2,375,281,74.93,1,14,2,14.29,18,21,39,53.85,1,0,19,18,0,8,19,29.71
552,Ebrima Colley,GAM,FWMF,Spezia,Serie A,22.0,11,0.0,0.0,0,0,0,127,87,68.5,0,12,3,25.0,3,10,21,47.62,1,0,14,13,0,3,8,27.2
553,Omar Colley,GAM,DF,Sampdoria,Serie A,29.0,32,0.0,0.0,0,0,0,1424,1199,84.2,0,0,0,,37,3,4,75.0,6,1,27,32,0,82,46,64.05
554,Nathan Collins,IRL,DF,Burnley,Premier League,21.0,19,0.11,0.13,0,0,2,640,462,72.19,0,4,1,25.0,23,3,8,37.5,2,1,20,14,0,83,44,65.3
555,Kingsley Coman,FRA,FWDF,Bayern Munich,Bundesliga,25.0,21,0.4,0.13,0,0,6,716,562,78.49,2,79,19,24.05,9,41,71,57.75,1,1,11,24,0,11,19,36.68
556,Eray Cömert,SUI,DF,Valencia,La Liga,24.0,8,0.0,0.0,0,0,0,191,159,83.25,0,0,0,,2,0,0,,2,0,4,0,0,5,9,35.69
557,Santi Comesaña,ESP,MF,Rayo Vallecano,La Liga,25.0,35,0.03,0.03,0,0,1,1487,1240,83.39,2,11,3,27.27,64,37,60,61.67,12,1,74,65,0,65,73,47.08
558,Diego Conde,ESP,GK,Getafe,La Liga,23.0,1,0.0,0.0,0,0,0,4,0,0.0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,
559,Aaron Connolly,IRL,FW,Brighton,Premier League,22.0,4,0.0,0.0,0,0,0,18,15,83.33,0,1,0,0.0,0,0,1,0.0,0,0,1,7,0,0,7,0.0
560,Andrea Consigli,ITA,GK,Sassuolo,Serie A,35.0,37,0.0,0.0,0,0,0,1465,1148,78.36,0,0,0,,0,0,0,,2,0,2,7,0,0,0,
561,Abdu Conté,POR,DF,Troyes,Ligue 1,24.0,17,0.0,0.0,0,0,0,614,453,73.78,1,34,5,14.71,15,16,22,72.73,2,0,17,15,0,14,15,48.19
562,Andrea Conti,ITA,DF,Milan,Serie A,28.0,1,0.0,0.0,0,0,0,7,6,85.71,0,0,0,,0,0,0,,0,0,0,0,0,0,0,
563,Andrea Conti,ITA,DFMF,Sampdoria,Serie A,28.0,7,0.38,0.25,0,0,1,78,61,78.21,0,0,0,,4,2,5,40.0,1,0,4,4,0,0,4,0.0
564,Liam Cooper,SCO,DF,Leeds United,Premier League,30.0,21,0.0,0.0,0,0,0,1121,955,85.19,1,1,0,0.0,18,3,3,100.0,5,0,19,13,0,92,43,68.11
565,Lucas Copado,GER,FW,Bayern Munich,Bundesliga,18.0,1,0.0,0.0,0,0,0,5,4,80.0,0,0,0,,0,1,1,100.0,0,0,0,0,0,0,1,0.0
566,Diego Coppola,ITA,DF,Hellas Verona,Serie A,18.0,4,0.0,0.0,0,0,0,94,75,79.79,0,1,0,0.0,4,0,0,,0,0,2,1,0,11,6,64.74
567,Francis Coquelin,FRA,MF,Villarreal,La Liga,31.0,20,0.22,0.4,0,0,2,481,425,88.36,1,2,0,0.0,14,15,21,71.43,3,0,22,21,0,17,13,56.75
568,Sébastien Corchia,FRA,DF,Nantes,Ligue 1,31.0,28,0.0,0.0,0,0,0,560,374,66.79,3,37,8,21.62,24,6,18,33.33,0,1,23,29,0,18,12,59.8
569,Sergio Córdova,VEN,FWMF,Augsburg,Bundesliga,24.0,13,0.0,0.0,0,0,0,57,36,63.16,0,3,0,0.0,4,3,7,42.86,2,0,4,11,0,20,20,50.0
570,Jack Cork,ENG,MF,Burnley,Premier League,32.0,20,0.05,0.14,0,0,1,572,430,75.17,0,7,2,28.57,8,10,13,76.92,4,0,40,14,0,36,25,59.15
571,Maxwel Cornet,CIV,FWMF,Burnley,Premier League,25.0,26,0.46,0.2,0,1,9,434,285,65.67,1,22,5,22.73,11,13,44,29.55,2,0,23,23,0,40,70,36.36
572,Maxwel Cornet,CIV,DFMF,Lyon,Ligue 1,25.0,1,0.0,0.0,0,0,0,40,33,82.5,0,3,1,33.33,1,1,2,50.0,2,1,1,1,0,0,1,0.0
573,Jesús Corona,MEX,FWDF,Sevilla,La Liga,29.0,18,0.16,0.17,0,0,2,609,474,77.83,4,45,6,13.33,7,18,38,47.37,2,0,13,29,0,12,15,44.5
574,Ángel Correa,ARG,FWMF,Atlético Madrid,La Liga,27.0,36,0.58,0.24,0,0,12,656,483,73.63,5,27,2,7.41,15,26,53,49.06,3,1,28,35,0,7,36,16.27
575,Joaquín Correa,ARG,FW,Inter,Serie A,27.0,26,0.53,0.17,0,0,6,343,286,83.38,1,11,1,9.09,7,13,32,40.62,2,0,16,20,0,13,21,38.26
576,Thierry Correia,POR,DF,Valencia,La Liga,23.0,19,0.0,0.0,0,0,0,649,451,69.49,1,38,6,15.79,31,10,30,33.33,5,0,35,34,0,22,18,54.9
577,Danny da Costa,GER,DF,Eint Frankfurt,Bundesliga,28.0,11,0.0,0.0,0,0,0,313,215,68.69,0,10,3,30.0,9,4,8,50.0,2,0,11,3,0,16,10,61.68
578,David Pereira da Costa,POR,MFFW,Lens,Ligue 1,21.0,33,0.18,0.12,0,0,3,797,664,83.31,5,31,5,16.13,14,32,46,69.57,2,0,10,17,0,1,13,6.98
579,Hélder Costa,ANG,MFFW,Valencia,La Liga,28.0,22,0.0,0.0,0,0,0,293,189,64.51,1,37,7,18.92,17,28,54,51.85,3,0,32,14,0,8,17,32.18
580,Hélder Costa,ANG,MF,Leeds United,Premier League,28.0,1,0.0,0.0,0,0,0,5,5,100.0,0,0,0,,0,0,0,,0,0,2,2,0,0,1,0.0
581,Jaume Costa,ESP,DF,Mallorca,La Liga,34.0,25,0.0,0.0,0,0,0,1001,735,73.43,4,54,13,24.07,24,11,15,73.33,5,1,22,33,0,28,29,49.11
582,Benoît Costil,FRA,GK,Bordeaux,Ligue 1,34.0,25,0.0,0.0,0,0,0,900,622,69.11,0,0,0,,0,0,1,0.0,1,0,0,5,0,0,0,
583,Vladimír Coufal,CZE,DF,West Ham,Premier League,29.0,28,0.0,0.0,0,0,0,1419,984,69.34,4,80,17,21.25,22,13,28,46.43,5,1,30,20,1,40,42,48.8
584,Kalifa Coulibaly,MLI,FW,Nantes,Ligue 1,30.0,21,0.53,0.19,0,0,5,203,120,59.11,0,3,1,33.33,5,2,4,50.0,1,0,12,8,0,70,41,63.08
585,Lassana Coulibaly,MLI,MF,Salernitana,Serie A,26.0,31,0.0,0.0,0,0,0,858,700,81.59,0,9,1,11.11,45,36,69,52.17,3,0,39,55,0,28,28,50.0
586,Mamadou Coulibaly,SEN,MF,Salernitana,Serie A,23.0,12,0.22,0.2,0,0,2,332,253,76.2,0,5,1,20.0,9,15,18,83.33,1,0,17,10,0,10,11,47.64
587,Tanguy Coulibaly,FRA,DFFW,Stuttgart,Bundesliga,21.0,21,0.0,0.0,0,0,0,339,259,76.4,1,13,1,7.69,13,19,43,44.19,8,0,25,17,0,11,17,39.32
588,Thibaut Courtois,BEL,GK,Real Madrid,La Liga,30.0,36,0.0,0.0,0,0,0,1138,936,82.25,0,0,0,,0,0,0,,1,0,1,2,0,0,0,
589,Philippe Coutinho,BRA,MFFW,Aston Villa,Premier League,29.0,19,0.34,0.12,0,0,5,639,526,82.32,3,13,3,23.08,11,27,42,64.29,0,0,10,22,0,6,22,21.58
590,Philippe Coutinho,BRA,MFFW,Barcelona,La Liga,29.0,12,0.36,0.04,1,1,2,328,274,83.54,0,9,2,22.22,5,12,20,60.0,1,0,8,18,0,2,4,33.64
591,Nicolas Cozza,FRA,DF,Montpellier,Ligue 1,23.0,34,0.06,0.33,0,0,2,1379,1133,82.16,2,13,4,30.77,47,12,19,63.16,2,1,33,21,0,46,39,53.99
592,Alessio Cragno,ITA,GK,Cagliari,Serie A,27.0,35,0.0,0.0,0,0,0,1215,756,62.22,0,0,0,,1,0,0,,3,0,1,9,0,0,0,
593,Aaron Cresswell,ENG,DF,West Ham,Premier League,32.0,31,0.07,0.11,0,0,2,2048,1642,80.18,3,63,8,12.7,19,3,13,23.08,3,0,20,13,0,36,30,54.59
594,Charlie Cresswell,ENG,DF,Leeds United,Premier League,19.0,5,0.0,0.0,0,0,0,94,70,74.47,0,0,0,,3,1,1,100.0,1,0,3,2,0,7,3,69.97
595,Domenico Criscito,ITA,DF,Genoa,Serie A,35.0,20,0.33,0.0,6,7,6,1003,789,78.66,1,38,6,15.79,22,7,9,77.78,4,0,25,30,0,27,15,64.38
596,Bryan Cristante,ITA,MF,Roma,Serie A,27.0,34,0.07,0.05,0,0,2,1791,1476,82.41,0,14,2,14.29,58,14,22,63.64,9,0,48,18,1,92,61,60.12
597,Cristo,ESP,DF,Real Sociedad,La Liga,22.0,1,0.0,0.0,0,0,0,11,10,90.91,0,1,1,100.0,0,0,2,0.0,0,0,1,0,0,0,1,0.0
598,Enzo Crivelli,FRA,FWMF,Saint-Étienne,Ligue 1,27.0,4,0.0,0.0,0,0,0,24,18,75.0,0,0,0,,1,2,5,40.0,0,0,1,0,0,4,5,44.44
599,Domen ?rnigoj,SVN,MFDF,Venezia,Serie A,26.0,34,0.14,0.09,0,0,3,671,500,74.52,1,23,4,17.39,17,15,33,45.45,3,0,32,16,0,28,55,33.75
600,Giovanni Crociata,ITA,FW,Empoli,Serie A,24.0,1,0.0,0.0,0,0,0,8,6,75.0,0,0,0,,0,0,1,0.0,0,0,1,0,0,0,0,
601,Juan Cruz Armada,ESP,DF,Osasuna,La Liga,29.0,23,0.0,0.0,0,0,0,950,786,82.74,0,13,1,7.69,15,8,11,72.73,4,0,20,6,0,28,28,50.0
602,Juan Cuadrado,COL,DFMF,Juventus,Serie A,34.0,33,0.14,0.11,0,0,4,1871,1592,85.09,3,81,16,19.75,29,38,70,54.29,9,0,28,53,0,18,17,51.18
603,Cucho,COL,FWMF,Watford,Premier League,23.0,25,0.39,0.14,0,0,5,395,255,64.56,2,26,6,23.08,5,23,42,54.76,3,0,19,13,1,39,49,44.3
604,Marc Cucurella,ESP,DF,Brighton,Premier League,23.0,35,0.03,0.06,0,0,1,2324,1895,81.54,1,94,23,24.47,62,31,59,52.54,6,0,35,36,0,54,46,53.95
605,Marc Cucurella,ESP,FWDF,Getafe,La Liga,23.0,1,0.0,0.0,0,0,0,18,13,72.22,0,1,0,0.0,1,1,1,100.0,0,0,0,1,0,0,0,
606,Jorge Cuenca,ESP,DF,Getafe,La Liga,22.0,32,0.03,0.06,0,0,1,1070,748,69.91,0,3,0,0.0,26,7,8,87.5,6,2,33,15,0,92,51,64.38
607,Mickaël Cuisance,FRA,MF,Venezia,Serie A,22.0,13,0.0,0.0,0,0,0,367,285,77.66,0,8,0,0.0,12,17,29,58.62,2,0,15,10,0,13,11,54.04
608,Mickaël Cuisance,FRA,MF,Bayern Munich,Bundesliga,22.0,1,0.0,0.0,0,0,0,16,14,87.5,0,0,0,,1,1,3,33.33,0,0,0,0,0,0,0,
609,Luke Cundle,ENG,MF,Wolves,Premier League,20.0,4,0.0,0.0,0,0,0,106,96,90.57,0,0,0,,3,0,1,0.0,0,0,6,1,0,0,4,0.0
610,Matheus Cunha,BRA,FW,Hertha BSC,Bundesliga,23.0,1,0.0,0.0,0,0,0,13,12,92.31,1,0,0,,0,2,2,100.0,0,0,1,3,0,0,2,0.0
611,Matheus Cunha,BRA,FW,Atlético Madrid,La Liga,23.0,29,0.51,0.17,0,0,6,233,168,72.1,4,8,0,0.0,17,7,13,53.85,3,0,28,32,0,28,85,24.76
612,Patrick Cutrone,ITA,FW,Empoli,Serie A,24.0,28,0.19,0.06,0,0,3,252,171,67.86,0,20,1,5.0,7,10,26,38.46,1,0,14,19,0,11,43,20.46
613,Wylan Cyprien,FRA,MF,Nantes,Ligue 1,27.0,24,0.12,0.1,0,0,2,904,728,80.53,3,13,3,23.08,18,11,21,52.38,3,0,21,20,0,9,16,36.0
614,Rafael Czichos,GER,DF,Köln,Bundesliga,32.0,17,0.0,0.0,0,0,0,1041,872,83.77,1,4,0,0.0,22,2,3,66.67,4,0,20,11,1,58,41,58.58
615,Lennart-Marten Czyborra,GER,DF,Arminia,Bundesliga,23.0,4,0.0,0.0,0,0,0,55,28,50.91,0,3,1,33.33,1,2,3,66.67,1,0,6,0,0,0,1,0.0
616,Danilo D'Ambrosio,ITA,DF,Inter,Serie A,33.0,20,0.09,0.07,0,0,1,738,654,88.62,1,5,0,0.0,18,3,3,100.0,2,0,15,5,0,24,18,57.14
617,Lucas Da Cunha,FRA,FWMF,Clermont Foot,Ligue 1,20.0,15,0.22,0.11,0,0,2,333,279,83.78,0,17,5,29.41,11,26,38,68.42,0,0,6,8,0,9,16,36.06
618,Lucas Da Cunha,FRA,MF,Nice,Ligue 1,20.0,10,0.0,0.0,0,0,0,166,121,72.89,1,13,4,30.77,8,8,14,57.14,0,0,3,5,0,5,7,41.76
619,Damien Da Silva,FRA,DF,Lyon,Ligue 1,34.0,17,0.0,0.0,0,0,0,883,788,89.24,0,1,0,0.0,8,1,2,50.0,5,1,20,5,0,43,23,65.15
620,Moanes Dabbur,ISR,FWMF,Hoffenheim,Bundesliga,30.0,27,0.21,0.09,0,0,3,480,360,75.0,4,10,3,30.0,13,21,41,51.22,5,0,32,24,0,16,41,28.13
621,Colin Dagba,FRA,DF,Paris S-G,Ligue 1,23.0,3,0.0,0.0,0,0,0,143,130,90.91,0,6,2,33.33,1,1,3,33.33,1,0,5,2,0,1,1,50.0
622,Finn Dahmen,GER,GK,Mainz 05,Bundesliga,24.0,2,0.0,0.0,0,0,0,80,63,78.75,0,0,0,,0,0,0,,0,0,0,0,0,0,0,
623,Mahmoud Dahoud,GER,MF,Dortmund,Bundesliga,26.0,22,0.11,0.09,0,0,2,1070,847,79.16,3,14,3,21.43,29,23,36,63.89,7,1,20,17,0,12,11,52.0
624,Patson Daka,ZAM,FW,Leicester City,Premier League,23.0,23,0.39,0.19,0,0,5,223,171,76.68,3,4,1,25.0,11,3,18,16.67,2,0,20,16,0,22,49,31.03
625,Stuart Dallas,NIR,DFMF,Leeds United,Premier League,31.0,34,0.03,0.03,0,0,1,1667,1314,78.82,1,43,5,11.63,46,20,39,51.28,5,0,38,39,0,40,33,54.67
626,Diogo Dalot,POR,DF,Manchester Utd,Premier League,23.0,24,0.0,0.0,0,0,0,1171,935,79.85,0,46,9,19.57,33,16,28,57.14,4,0,20,7,0,38,22,63.33
627,Mikkel Damsgaard,DEN,MFFW,Sampdoria,Serie A,21.0,11,0.0,0.0,0,0,0,269,204,75.84,0,9,1,11.11,9,15,23,65.22,1,0,10,10,0,4,4,50.0
628,Flavius Daniliuc,AUT,DF,Nice,Ligue 1,21.0,24,0.0,0.0,0,0,0,862,771,89.44,0,6,3,50.0,27,8,13,61.54,4,0,19,6,0,25,23,52.1
629,Danilo,BRA,DFMF,Juventus,Serie A,30.0,22,0.05,0.07,0,0,1,1451,1264,87.11,2,13,5,38.46,22,4,9,44.44,6,0,21,11,0,40,23,63.33
630,Kevin Danso,AUT,DF,Lens,Ligue 1,23.0,33,0.06,0.15,0,0,2,1838,1621,88.19,2,1,0,0.0,35,7,13,53.85,9,2,49,44,0,85,34,71.35
631,Dante,BRA,DF,Nice,Ligue 1,38.0,34,0.0,0.0,0,0,0,2366,2146,90.7,0,3,1,33.33,28,7,8,87.5,7,3,24,12,0,66,24,73.4
632,Ebrima Darboe,GAM,MF,Roma,Serie A,20.0,1,0.0,0.0,0,0,0,40,38,95.0,0,0,0,,2,0,0,,0,0,1,1,0,0,0,
633,Márton Dárdai,GER,DF,Hertha BSC,Bundesliga,20.0,12,0.0,0.0,0,0,0,371,268,72.24,1,1,0,0.0,6,2,4,50.0,2,0,10,8,0,15,9,62.59
634,Sergi Darder,ESP,MF,Espanyol,La Liga,28.0,36,0.09,0.07,0,0,3,1747,1444,82.66,9,38,6,15.79,26,42,64,65.62,4,0,35,46,0,15,24,38.39
635,Vladimír Darida,CZE,MF,Hertha BSC,Bundesliga,31.0,25,0.1,0.08,0,0,2,958,691,72.13,5,27,5,18.52,23,15,25,60.0,6,0,25,35,0,13,38,25.58
636,Karl Darlow,ENG,GK,Newcastle Utd,Premier League,31.0,8,0.0,0.0,0,0,0,253,152,60.08,0,0,0,,0,0,0,,1,0,1,2,0,0,0,
637,Matteo Darmian,ITA,DF,Inter,Serie A,32.0,25,0.12,0.25,0,0,2,703,564,80.23,1,37,10,27.03,22,3,7,42.86,4,0,26,21,0,19,7,73.08
638,Josh Dasilva,ENG,MFFW,Brentford,Premier League,23.0,9,0.0,0.0,0,0,0,87,70,80.46,0,4,1,25.0,2,7,10,70.0,0,1,3,5,0,1,3,24.82
639,Jonathan David,CAN,FW,Lille,Ligue 1,22.0,38,0.48,0.2,2,3,15,667,527,79.01,0,16,4,25.0,19,34,52,65.38,3,0,28,47,0,30,75,28.57
640,Alphonso Davies,CAN,DF,Bayern Munich,Bundesliga,21.0,22,0.0,0.0,0,0,0,1338,1125,84.08,3,60,16,26.67,25,71,120,59.17,3,0,15,31,0,15,16,48.45
641,Ben Davies,WAL,DF,Tottenham,Premier League,29.0,29,0.04,0.05,0,0,1,1599,1376,86.05,1,9,0,0.0,18,8,11,72.73,6,0,33,23,0,77,49,61.07
642,Tom Davies,ENG,MF,Everton,Premier League,23.0,6,0.38,0.17,0,0,1,79,60,75.95,0,0,0,,2,2,3,66.67,1,0,4,3,0,5,3,62.54
643,Keinan Davis,ENG,FW,Aston Villa,Premier League,24.0,1,0.0,0.0,0,0,0,4,4,100.0,0,0,0,,0,0,0,,0,0,0,1,0,0,3,0.0
644,Pawe? Dawidowicz,POL,DF,Hellas Verona,Serie A,27.0,17,0.0,0.0,0,0,0,611,526,86.09,0,4,0,0.0,20,4,5,80.0,3,0,26,15,0,31,23,57.39
645,Craig Dawson,ENG,DF,West Ham,Premier League,32.0,34,0.07,0.08,0,0,2,1233,1016,82.4,2,1,0,0.0,21,2,2,100.0,5,1,40,12,0,103,56,64.81
646,Kevin De Bruyne,BEL,MF,Manchester City,Premier League,30.0,30,0.61,0.19,0,0,15,1550,1169,75.42,8,101,9,8.91,14,24,42,57.14,2,0,25,36,0,15,29,34.08
647,Konrad De La Fuente,USA,FWDF,Marseille,Ligue 1,20.0,16,0.0,0.0,0,0,0,240,188,78.33,2,25,4,16.0,8,18,31,58.06,1,0,3,6,0,4,7,36.51
648,Sebastien De Maio,FRA,DF,Udinese,Serie A,35.0,2,0.0,0.0,0,0,0,75,53,70.67,0,0,0,,2,0,0,,0,0,5,0,0,2,3,40.0
649,Tommaso De Nipoti,ITA,MF,Atalanta,Serie A,18.0,1,0.0,0.0,0,0,0,1,1,100.0,0,0,0,,0,0,0,,0,0,0,0,0,1,0,100.0
650,Rodrigo De Paul,ARG,MF,Atlético Madrid,La Liga,28.0,36,0.13,0.13,0,0,3,1420,1126,79.3,1,36,7,19.44,30,24,40,60.0,7,0,48,69,0,13,28,31.58
651,Mattia De Sciglio,ITA,DF,Juventus,Serie A,29.0,20,0.08,0.17,0,0,1,667,542,81.26,2,33,12,36.36,11,9,16,56.25,2,1,16,8,0,17,14,54.81
652,Lorenzo De Silvestri,ITA,DF,Bologna,Serie A,34.0,31,0.12,0.19,0,0,3,1346,999,74.22,2,48,13,27.08,13,7,19,36.84,7,0,31,27,0,90,60,60.03
653,Saulo Decarli,SUI,DF,Bochum,Bundesliga,30.0,1,0.0,0.0,0,0,0,6,6,100.0,0,0,0,,0,0,0,,0,0,0,0,0,1,1,50.0
654,Troy Deeney,ENG,FW,Watford,Premier League,33.0,2,0.0,0.0,0,0,0,6,3,50.0,0,0,0,,0,0,0,,0,0,0,0,0,4,3,57.08
655,Grégoire Defrel,MTQ,FW,Sassuolo,Serie A,30.0,38,0.13,0.07,0,0,2,400,342,85.5,2,0,0,,16,14,30,46.67,3,0,16,21,0,17,42,28.9
656,Alessandro Deiola,ITA,MF,Cagliari,Serie A,26.0,33,0.17,0.15,0,0,4,769,598,77.76,1,11,2,18.18,25,7,11,63.64,5,0,49,27,0,48,39,55.16
657,Romain Del Castillo,FRA,MFFW,Brest,Ligue 1,26.0,19,0.0,0.0,0,0,0,439,325,74.03,6,30,3,10.0,17,25,44,56.82,1,1,16,23,0,5,11,31.08
658,Romain Del Castillo,FRA,MFFW,Rennes,Ligue 1,26.0,3,0.0,0.0,0,0,0,16,11,68.75,0,0,0,,1,1,3,33.33,0,0,0,2,0,0,1,0.0
659,Thomas Delaine,FRA,DF,Metz,Ligue 1,30.0,29,0.04,0.06,0,0,1,1168,867,74.23,2,91,16,17.58,28,26,56,46.43,4,0,25,16,0,7,22,23.89
660,Thomas Delaney,DEN,MF,Dortmund,Bundesliga,30.0,1,0.0,0.0,0,0,0,15,11,73.33,0,0,0,,0,0,0,,0,0,0,1,0,0,0,
661,Thomas Delaney,DEN,MF,Sevilla,La Liga,30.0,26,0.12,0.12,0,0,2,802,632,78.8,1,11,2,18.18,24,6,9,66.67,4,1,26,26,0,67,35,65.77
662,Liam Delap,ENG,FW,Manchester City,Premier League,19.0,1,0.0,0.0,0,0,0,1,1,100.0,0,0,0,,0,0,0,,0,0,1,1,0,0,0,
663,Sacha Delaye,FRA,MFFW,Montpellier,Ligue 1,20.0,11,0.0,0.0,0,0,0,90,68,75.56,1,7,1,14.29,3,1,3,33.33,0,0,4,1,0,2,8,20.0
664,Filippo Delli Carri,ITA,DF,Salernitana,Serie A,23.0,5,0.0,0.0,0,0,0,120,86,71.67,0,3,1,33.33,5,1,2,50.0,1,0,2,3,0,3,3,50.0
665,Andy Delort,ALG,FW,Nice,Ligue 1,30.0,32,0.59,0.13,3,3,16,685,419,61.17,2,49,9,18.37,10,15,40,37.5,3,0,38,49,0,87,114,43.3
666,Andy Delort,ALG,FW,Montpellier,Ligue 1,30.0,3,0.67,0.14,0,0,2,96,56,58.33,1,8,2,25.0,2,0,0,,0,0,6,3,0,6,9,40.0
667,Fabian Delph,ENG,MF,Everton,Premier League,32.0,11,0.0,0.0,0,0,0,306,261,85.29,0,1,0,0.0,13,6,7,85.71,2,0,11,7,0,5,5,50.0
668,Moussa Dembélé,FRA,FW,Lyon,Ligue 1,25.0,30,0.86,0.19,5,5,21,444,309,69.59,4,8,1,12.5,11,27,49,55.1,6,0,29,20,0,67,65,50.74
